Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Tess DAVID",Sentinelle,S24,15/08/2025,11:22:32,12:25:47,31,2949.24128,417.77,177.49,33.45,0,10,5,13,3,96.61302,25.08247
"Carla POLITO",Sentinelle,S24,15/08/2025,11:22:32,12:47:08,44,3059.81114,312.34,41.65,0,0,9,1,5,0,69.84807,21.48346
"Emma SMAALI","Défenseur Central",S24,15/08/2025,11:22:32,12:47:08,44,2885.86983,244.03,135.72,19.9,0,5,5,11,2,65.87741,23.94195
"Fatima EL GHAZOUANI","Défenseur Central",S24,15/08/2025,11:22:32,12:47:08,44,3243.91278,300.63,176.56,33.6,10.65,12,8,16,3,74.05066,26.14172
"Jennifer LIMAGE","Défenseur Central",S24,15/08/2025,11:22:32,12:47:08,44,3350.70532,393.75,130.59,44.63,4.09,12,17,12,3,76.48848,25.58823
"Julia EVRARD",Sentinelle,S24,15/08/2025,11:22:32,12:47:08,44,3120.46543,368.02,192.58,49.26,2.64,11,13,17,4,71.23266,25.4019
"Lara KAZANDJIAN",Sentinelle,S24,15/08/2025,11:22:32,12:47:08,44,3378.17029,439.20001,209.94,24.8,13.04,16,10,16,3,77.11544,26.32514
"Lizzy MILLEQUANT",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,3341.46586,376.21,166.15,48.42,37.49,10,15,14,4,76.27756,26.54713
"Louann ARCHIER",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,3327.95876,377.69,172.58,60.77,4.19,14,16,15,5,75.96923,25.40047
"Sherly JEUDY",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,3418.02507,426.79,180.39,44.13,13.53,13,9,17,4,78.02523,26.37305
"Aude GBEDJISSI",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,4087.43032,455.96,246.77,62.37,4.8,20,13,19,5,91.98155,25.80959
"Clara BERTRAND",Sentinelle,S24,15/08/2025,11:22:32,12:47:08,44,4142.86682,543.16,136.98,7.21,0,15,9,12,0,93.22907,23.32293
"Dayana PIERRE LOUIS",Sentinelle,S24,15/08/2025,11:22:32,12:47:08,44,3499.36229,258.12,52.36,0,0,2,2,5,0,78.74796,20.9687
"Emmy JEZEQUEL","Défenseur Central",S24,15/08/2025,11:22:32,12:47:08,44,3788.49179,253.17,150.3,15.32,0,1,5,7,1,85.25439,23.63839
"Fany PRONIEZ",Piston,S24,15/08/2025,11:22:32,12:47:08,44,3495.27651,388.45,178.48,44.51,36.06,17,15,18,5,78.65601,27.26529
"Kaina EL KOUMIR",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,3001.90343,163.08,15.97,0,0,6,4,1,0,67.55338,20.94559
"Laureen OILLIC",Piston,S24,15/08/2025,11:22:32,12:47:08,44,3558.97052,342.78,93.73,0,0,2,5,6,0,80.08935,21.77943
"Manon REVELLI",Piston,S24,15/08/2025,11:22:32,12:47:08,44,3359.00119,288.22,238.28,112.43,47.24,1,8,18,10,75.58934,26.463
"Naomie VAGRE",Attaquante,S24,15/08/2025,11:22:32,12:47:08,44,3758.98136,354.65,172.5,46.94,8.45,9,4,13,4,84.5903,25.49646
"Romane LEJEUNE","Défenseur Central",S24,15/08/2025,11:22:32,12:47:08,44,3759.94997,352.52,157.1,9.87,0,8,6,12,1,84.6121,25.01266
"Alizée MEREAU",Attaquante,S24,15/08/2025,11:22:32,12:47:11,78,4859.48352,157.71,66.83,96.98,38.5,13,0,6,6,62.08378,26.70674
"Ambre BOUCHARD",Gardienne,S24,15/08/2025,11:23:15,12:47:10,84,2337.37695,28.69,7.63,0,0,1,3,1,0,27.8489,20.89786
"Blandine JOLY",Gardienne,S24,15/08/2025,11:23:15,12:47:10,84,2714.43481,15.58,1.46,0,0,5,5,0,0,32.34139,19.65432
"Madelynn ANDERSON",Gardienne,S24,15/08/2025,11:23:15,12:47:10,84,2321.69214,12.23,0,0,0,4,6,0,0,27.66202,17.89418
