Name,"Position Name","Activity Name",Date,"Start Time","End Time","Field Time","Total Distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Meterage Per Minute","Maximum Velocity (km/h)"
"Aude GBEDJISSI",Attaquante,S11,28/07/2025,16:39:44,17:37:18,46,2792.64259,201.19,67.74,6.55,0,19,13,8,0,60.8262,24.48234
"Fany PRONIEZ",Piston,S11,28/07/2025,16:39:44,17:37:18,46,2582.23597,142.88,155.99,68.42,26.48,6,4,17,7,56.24336,26.48721
"Jennifer MEUNIER",Piston,S11,28/07/2025,16:39:44,17:37:18,46,2357.77038,116.9,170.94,25.34,0,7,4,15,2,51.35431,23.92476
"Julia EVRARD",Sentinelle,S11,28/07/2025,16:39:44,17:37:18,46,2269.76395,18.9,0,0,0,1,1,0,0,49.43745,17.48725
"Kaina EL KOUMIR",Attaquante,S11,28/07/2025,16:39:44,17:37:18,46,2280.07364,129.91,9.27,0,0,2,4,1,0,49.662,21.95173
"Lara KAZANDJIAN",Sentinelle,S11,28/07/2025,16:39:44,17:37:18,46,2494.7137,88.16,26.96,0,0,5,4,3,0,54.33705,21.5515
"Louann ARCHIER",Attaquante,S11,28/07/2025,16:39:44,17:37:18,46,2990.82321,202.92001,127.34,1.82,0,10,11,10,0,65.14275,23.29869
"Naomie VAGRE",Attaquante,S11,28/07/2025,16:39:44,17:37:18,46,2768.13851,231.03,40.54,7.59,0,4,5,4,1,60.29248,24.91511
"Sherly JEUDY",Attaquante,S11,28/07/2025,16:39:44,17:37:18,46,2578.55707,113.09,43.82,0,0,5,5,6,0,56.16323,21.75243
"Carla POLITO",Sentinelle,S11,28/07/2025,16:39:44,17:40:52,48,2664.32445,146.28,12.6,0,0,6,0,1,0,55.17056,20.62284
"Clara BERTRAND",Sentinelle,S11,28/07/2025,16:39:44,17:40:52,48,2919.8862,109.23,17.49,0,0,10,4,2,0,60.46252,20.1133
"Dayana PIERRE LOUIS",Sentinelle,S11,28/07/2025,16:39:44,17:40:52,48,2904.93284,140.02,14.07,0,0,13,3,1,0,60.15288,20.83511
"Emma SMAALI","Défenseur Central",S11,28/07/2025,16:39:44,17:40:52,48,1976.773,69.75,6.16,0,0,0,0,1,0,40.93333,20.26832
"Emmy JEZEQUEL","Défenseur Central",S11,28/07/2025,16:39:44,17:40:52,48,1801.8164,0,0,0,0,0,1,0,0,37.31048,13.93386
"Fatima EL GHAZOUANI","Défenseur Central",S11,28/07/2025,16:39:44,17:40:52,48,2735.09012,52.99,2.96,0,0,0,0,0,0,56.63592,19.65753
"Jennifer LIMAGE","Défenseur Central",S11,28/07/2025,16:39:44,17:40:52,48,2599.70559,52.68,7.33,0,0,4,0,1,0,53.83249,19.7054
"Laureen OILLIC",Piston,S11,28/07/2025,16:39:44,17:40:52,48,2137.07284,48.52,6.6,0,0,3,3,1,0,44.25269,20.02334
"Romane LEJEUNE","Défenseur Central",S11,28/07/2025,16:39:44,17:40:52,48,1700.68365,13.79,0,0,0,0,0,0,0,35.21631,16.71641
"Tess DAVID",Sentinelle,S11,28/07/2025,16:39:44,17:40:52,48,3211.66902,165.48,42.46,0,0,9,1,5,0,66.50451,21.03996
"Alizée MEREAU",Attaquante,S11,28/07/2025,16:39:44,17:37:18,53,3179.56927,242.3,428.82,1.22,0,4,0,7,0,59.56016,23.0588
"Ambre BOUCHARD",Gardienne,S11,28/07/2025,16:39:28,17:37:18,58,2692.50732,19.7,0,0,0,2,1,0,0,46.55029,16.53531
"Blandine JOLY",Gardienne,S11,28/07/2025,16:39:28,17:37:18,58,2816.74512,29.33,0,0,0,1,3,0,0,48.69821,18.6526
"Madelynn ANDERSON",Gardienne,S11,28/07/2025,16:39:28,17:37:18,58,2470.58203,0,0,0,0,1,0,0,0,42.71346,14.97577
